Mensaje ID: 0 enviado al grupo 9, consumidor 0
Mensaje ID: 46 enviado al grupo 6, consumidor 0
Mensaje ID: 46 enviado al grupo 7, consumidor 0
Mensaje ID: 46 enviado al grupo 8, consumidor 0
Mensaje ID: 46 enviado al grupo 9, consumidor 0
Mensaje ID: 45 enviado al grupo 0, consumidor 1
Mensaje ID: 45 enviado al grupo 1, consumidor 1
Mensaje ID: 45 enviado al grupo 2, consumidor 1
Mensaje ID: 45 enviado al grupo 4, consumidor 1
Mensaje ID: 45 enviado al grupo 5, consumidor 1
Mensaje ID: 45 enviado al grupo 6, consumidor 1
Mensaje ID: 45 enviado al grupo 7, consumidor 1
Mensaje ID: 45 enviado al grupo 8, consumidor 1
Mensaje ID: 45 enviado al grupo 9, consumidor 1
Mensaje ID: 44 enviado al grupo 0, consumidor 0
Mensaje ID: 44 enviado al grupo 1, consumidor 0
Mensaje ID: 44 enviado al grupo 3, consumidor 0
Mensaje ID: 44 enviado al grupo 4, consumidor 0
Mensaje ID: 44 enviado al grupo 5, consumidor 0
Mensaje ID: 44 enviado al grupo 6, consumidor 0
Mensaje ID: 44 enviado al grupo 7, consumidor 0
Mensaje ID: 44 enviado al grupo 8, consumidor 0
Mensaje ID: 44 enviado al grupo 9, consumidor 0
Mensaje ID: 43 enviado al grupo 0, consumidor 1
Mensaje ID: 43 enviado al grupo 1, consumidor 1
Mensaje ID: 43 enviado al grupo 2, consumidor 1
Mensaje ID: 43 enviado al grupo 3, consumidor 1
Mensaje ID: 43 enviado al grupo 4, consumidor 1
Mensaje ID: 43 enviado al grupo 5, consumidor 1
Mensaje ID: 43 enviado al grupo 7, consumidor 1
Mensaje ID: 43 enviado al grupo 8, consumidor 1
Mensaje ID: 43 enviado al grupo 9, consumidor 1
Mensaje ID: 42 enviado al grupo 0, consumidor 0
Mensaje ID: 42 enviado al grupo 1, consumidor 0
Mensaje ID: 42 enviado al grupo 3, consumidor 0
Mensaje ID: 42 enviado al grupo 4, consumidor 0
Mensaje ID: 42 enviado al grupo 5, consumidor 0
Mensaje ID: 42 enviado al grupo 6, consumidor 0
Mensaje ID: 42 enviado al grupo 7, consumidor 0
Mensaje ID: 42 enviado al grupo 8, consumidor 0
Mensaje ID: 42 enviado al grupo 9, consumidor 0
Mensaje ID: 41 enviado al grupo 1, consumidor 1
Mensaje ID: 41 enviado al grupo 2, consumidor 1
Mensaje ID: 41 enviado al grupo 3, consumidor 1
Mensaje ID: 41 enviado al grupo 4, consumidor 1
Mensaje ID: 41 enviado al grupo 5, consumidor 1
Mensaje ID: 41 enviado al grupo 6, consumidor 1
Mensaje ID: 41 enviado al grupo 7, consumidor 1
Mensaje ID: 41 enviado al grupo 8, consumidor 1
Mensaje ID: 41 enviado al grupo 9, consumidor 1
Mensaje ID: 40 enviado al grupo 0, consumidor 0
Mensaje ID: 40 enviado al grupo 2, consumidor 0
Mensaje ID: 40 enviado al grupo 3, consumidor 0
Mensaje ID: 40 enviado al grupo 4, consumidor 0
Mensaje ID: 40 enviado al grupo 5, consumidor 0
Mensaje ID: 40 enviado al grupo 6, consumidor 0
Mensaje ID: 40 enviado al grupo 7, consumidor 0
Mensaje ID: 40 enviado al grupo 9, consumidor 0
Mensaje ID: 39 enviado al grupo 0, consumidor 1
Mensaje ID: 39 enviado al grupo 1, consumidor 1
Mensaje ID: 39 enviado al grupo 2, consumidor 1
Mensaje ID: 39 enviado al grupo 3, consumidor 1
Mensaje ID: 39 enviado al grupo 4, consumidor 1
Mensaje ID: 39 enviado al grupo 5, consumidor 1
Mensaje ID: 39 enviado al grupo 7, consumidor 1
Mensaje ID: 39 enviado al grupo 8, consumidor 1
Mensaje ID: 39 enviado al grupo 9, consumidor 1
Mensaje ID: 38 enviado al grupo 0, consumidor 0
Mensaje ID: 38 enviado al grupo 1, consumidor 0
Mensaje ID: 38 enviado al grupo 2, consumidor 0
Mensaje ID: 38 enviado al grupo 3, consumidor 0
Mensaje ID: 38 enviado al grupo 5, consumidor 0
Mensaje ID: 38 enviado al grupo 6, consumidor 0
Mensaje ID: 38 enviado al grupo 7, consumidor 0
Mensaje ID: 38 enviado al grupo 8, consumidor 0
Mensaje ID: 38 enviado al grupo 9, consumidor 0
Mensaje ID: 37 enviado al grupo 0, consumidor 1
Mensaje ID: 37 enviado al grupo 1, consumidor 1
Mensaje ID: 37 enviado al grupo 3, consumidor 1
Mensaje ID: 37 enviado al grupo 4, consumidor 1
Mensaje ID: 37 enviado al grupo 5, consumidor 1
Mensaje ID: 37 enviado al grupo 6, consumidor 1
Mensaje ID: 37 enviado al grupo 7, consumidor 1
Mensaje ID: 37 enviado al grupo 8, consumidor 1
Mensaje ID: 37 enviado al grupo 9, consumidor 1
Mensaje ID: 36 enviado al grupo 1, consumidor 0
Mensaje ID: 36 enviado al grupo 2, consumidor 0
Mensaje ID: 36 enviado al grupo 3, consumidor 0
Mensaje ID: 36 enviado al grupo 4, consumidor 0
Mensaje ID: 36 enviado al grupo 5, consumidor 0
Mensaje ID: 36 enviado al grupo 6, consumidor 0
Mensaje ID: 36 enviado al grupo 8, consumidor 0
Mensaje ID: 36 enviado al grupo 9, consumidor 0
Mensaje ID: 35 enviado al grupo 0, consumidor 1
Mensaje ID: 35 enviado al grupo 1, consumidor 1
Mensaje ID: 35 enviado al grupo 3, consumidor 1
Mensaje ID: 35 enviado al grupo 4, consumidor 1
Mensaje ID: 35 enviado al grupo 5, consumidor 1
Mensaje ID: 35 enviado al grupo 6, consumidor 1
Mensaje ID: 35 enviado al grupo 7, consumidor 1
Mensaje ID: 35 enviado al grupo 8, consumidor 1
Mensaje ID: 35 enviado al grupo 9, consumidor 1
Mensaje ID: 34 enviado al grupo 1, consumidor 0
Mensaje ID: 34 enviado al grupo 2, consumidor 0
Mensaje ID: 34 enviado al grupo 3, consumidor 0
Mensaje ID: 34 enviado al grupo 5, consumidor 0
Mensaje ID: 34 enviado al grupo 6, consumidor 0
Mensaje ID: 34 enviado al grupo 7, consumidor 0
Mensaje ID: 34 enviado al grupo 8, consumidor 0
Mensaje ID: 34 enviado al grupo 9, consumidor 0
Mensaje ID: 33 enviado al grupo 0, consumidor 1
Mensaje ID: 33 enviado al grupo 1, consumidor 1
Mensaje ID: 33 enviado al grupo 2, consumidor 1
Mensaje ID: 33 enviado al grupo 3, consumidor 1
Mensaje ID: 33 enviado al grupo 5, consumidor 1
Mensaje ID: 33 enviado al grupo 7, consumidor 1
Mensaje ID: 33 enviado al grupo 8, consumidor 1
Mensaje ID: 33 enviado al grupo 9, consumidor 1
Mensaje ID: 32 enviado al grupo 0, consumidor 0
Mensaje ID: 32 enviado al grupo 1, consumidor 0
Mensaje ID: 32 enviado al grupo 2, consumidor 0
Mensaje ID: 32 enviado al grupo 3, consumidor 0
Mensaje ID: 32 enviado al grupo 4, consumidor 0
Mensaje ID: 32 enviado al grupo 5, consumidor 0
Mensaje ID: 32 enviado al grupo 7, consumidor 0
Mensaje ID: 32 enviado al grupo 8, consumidor 0
Mensaje ID: 32 enviado al grupo 9, consumidor 0
Mensaje ID: 31 enviado al grupo 0, consumidor 1
Mensaje ID: 31 enviado al grupo 1, consumidor 1
Mensaje ID: 31 enviado al grupo 2, consumidor 1
Mensaje ID: 31 enviado al grupo 3, consumidor 1
Mensaje ID: 31 enviado al grupo 4, consumidor 1
Mensaje ID: 31 enviado al grupo 5, consumidor 1
Mensaje ID: 31 enviado al grupo 7, consumidor 1
Mensaje ID: 31 enviado al grupo 8, consumidor 1
Mensaje ID: 31 enviado al grupo 9, consumidor 1
Mensaje ID: 30 enviado al grupo 0, consumidor 0
Mensaje ID: 30 enviado al grupo 1, consumidor 0
Mensaje ID: 30 enviado al grupo 2, consumidor 0
Mensaje ID: 30 enviado al grupo 3, consumidor 0
Mensaje ID: 30 enviado al grupo 4, consumidor 0
Mensaje ID: 30 enviado al grupo 6, consumidor 0
Mensaje ID: 30 enviado al grupo 7, consumidor 0
Mensaje ID: 30 enviado al grupo 8, consumidor 0
Mensaje ID: 30 enviado al grupo 9, consumidor 0
Mensaje ID: 29 enviado al grupo 0, consumidor 1
Mensaje ID: 29 enviado al grupo 2, consumidor 1
Mensaje ID: 29 enviado al grupo 3, consumidor 1
Mensaje ID: 29 enviado al grupo 4, consumidor 1
Mensaje ID: 29 enviado al grupo 5, consumidor 1
Mensaje ID: 29 enviado al grupo 6, consumidor 1
Mensaje ID: 29 enviado al grupo 8, consumidor 1
Mensaje ID: 29 enviado al grupo 9, consumidor 1
Mensaje ID: 28 enviado al grupo 0, consumidor 0
Mensaje ID: 28 enviado al grupo 1, consumidor 0
Mensaje ID: 28 enviado al grupo 3, consumidor 0
Mensaje ID: 28 enviado al grupo 4, consumidor 0
Mensaje ID: 28 enviado al grupo 5, consumidor 0
Mensaje ID: 28 enviado al grupo 6, consumidor 0
Mensaje ID: 28 enviado al grupo 8, consumidor 0
Mensaje ID: 28 enviado al grupo 9, consumidor 0
Mensaje ID: 27 enviado al grupo 0, consumidor 1
Mensaje ID: 27 enviado al grupo 1, consumidor 1
Mensaje ID: 27 enviado al grupo 2, consumidor 1
Mensaje ID: 27 enviado al grupo 3, consumidor 1
Mensaje ID: 27 enviado al grupo 4, consumidor 1
Mensaje ID: 27 enviado al grupo 5, consumidor 1
Mensaje ID: 27 enviado al grupo 7, consumidor 1
Mensaje ID: 27 enviado al grupo 8, consumidor 1
Mensaje ID: 27 enviado al grupo 9, consumidor 1
Mensaje ID: 26 enviado al grupo 0, consumidor 0
Mensaje ID: 26 enviado al grupo 1, consumidor 0
Mensaje ID: 26 enviado al grupo 2, consumidor 0
Mensaje ID: 26 enviado al grupo 4, consumidor 0
Mensaje ID: 26 enviado al grupo 5, consumidor 0
Mensaje ID: 26 enviado al grupo 6, consumidor 0
Mensaje ID: 26 enviado al grupo 7, consumidor 0
Mensaje ID: 26 enviado al grupo 8, consumidor 0
Mensaje ID: 26 enviado al grupo 9, consumidor 0
Mensaje ID: 25 enviado al grupo 0, consumidor 1
Mensaje ID: 25 enviado al grupo 1, consumidor 1
Mensaje ID: 25 enviado al grupo 2, consumidor 1
Mensaje ID: 25 enviado al grupo 3, consumidor 1
Mensaje ID: 25 enviado al grupo 4, consumidor 1
Mensaje ID: 25 enviado al grupo 6, consumidor 1
Mensaje ID: 25 enviado al grupo 7, consumidor 1
Mensaje ID: 25 enviado al grupo 8, consumidor 1
Mensaje ID: 25 enviado al grupo 9, consumidor 1
Mensaje ID: 24 enviado al grupo 1, consumidor 0
Mensaje ID: 24 enviado al grupo 2, consumidor 0
Mensaje ID: 24 enviado al grupo 3, consumidor 0
Mensaje ID: 24 enviado al grupo 4, consumidor 0
Mensaje ID: 24 enviado al grupo 6, consumidor 0
Mensaje ID: 24 enviado al grupo 7, consumidor 0
Mensaje ID: 24 enviado al grupo 8, consumidor 0
Mensaje ID: 24 enviado al grupo 9, consumidor 0
Mensaje ID: 23 enviado al grupo 0, consumidor 1
Mensaje ID: 23 enviado al grupo 1, consumidor 1
Mensaje ID: 23 enviado al grupo 3, consumidor 1
Mensaje ID: 23 enviado al grupo 4, consumidor 1
Mensaje ID: 23 enviado al grupo 5, consumidor 1
Mensaje ID: 23 enviado al grupo 6, consumidor 1
Mensaje ID: 23 enviado al grupo 7, consumidor 1
Mensaje ID: 23 enviado al grupo 8, consumidor 1
Mensaje ID: 23 enviado al grupo 9, consumidor 1
Mensaje ID: 22 enviado al grupo 1, consumidor 0
Mensaje ID: 22 enviado al grupo 2, consumidor 0
Mensaje ID: 22 enviado al grupo 3, consumidor 0
Mensaje ID: 22 enviado al grupo 4, consumidor 0
Mensaje ID: 22 enviado al grupo 5, consumidor 0
Mensaje ID: 22 enviado al grupo 6, consumidor 0
Mensaje ID: 22 enviado al grupo 7, consumidor 0
Mensaje ID: 22 enviado al grupo 8, consumidor 0
Mensaje ID: 21 enviado al grupo 0, consumidor 1
Mensaje ID: 21 enviado al grupo 1, consumidor 1
Mensaje ID: 21 enviado al grupo 2, consumidor 1
Mensaje ID: 21 enviado al grupo 3, consumidor 1
Mensaje ID: 21 enviado al grupo 4, consumidor 1
Mensaje ID: 21 enviado al grupo 6, consumidor 1
Mensaje ID: 21 enviado al grupo 7, consumidor 1
Mensaje ID: 21 enviado al grupo 8, consumidor 1
Mensaje ID: 21 enviado al grupo 9, consumidor 1
Mensaje ID: 20 enviado al grupo 0, consumidor 0
Mensaje ID: 20 enviado al grupo 1, consumidor 0
Mensaje ID: 20 enviado al grupo 2, consumidor 0
Mensaje ID: 20 enviado al grupo 3, consumidor 0
Mensaje ID: 20 enviado al grupo 5, consumidor 0
Mensaje ID: 20 enviado al grupo 6, consumidor 0
Mensaje ID: 20 enviado al grupo 7, consumidor 0
Mensaje ID: 20 enviado al grupo 8, consumidor 0
Mensaje ID: 20 enviado al grupo 9, consumidor 0
Mensaje ID: 19 enviado al grupo 0, consumidor 1
Mensaje ID: 19 enviado al grupo 1, consumidor 1
Mensaje ID: 19 enviado al grupo 2, consumidor 1
Mensaje ID: 19 enviado al grupo 4, consumidor 1
Mensaje ID: 19 enviado al grupo 5, consumidor 1
Mensaje ID: 19 enviado al grupo 6, consumidor 1
Mensaje ID: 19 enviado al grupo 8, consumidor 1
Mensaje ID: 19 enviado al grupo 9, consumidor 1
Mensaje ID: 18 enviado al grupo 0, consumidor 0
Mensaje ID: 18 enviado al grupo 1, consumidor 0
Mensaje ID: 18 enviado al grupo 2, consumidor 0
Mensaje ID: 18 enviado al grupo 3, consumidor 0
Mensaje ID: 18 enviado al grupo 5, consumidor 0
Mensaje ID: 18 enviado al grupo 6, consumidor 0
Mensaje ID: 18 enviado al grupo 7, consumidor 0
Mensaje ID: 18 enviado al grupo 8, consumidor 0
Mensaje ID: 18 enviado al grupo 9, consumidor 0
Mensaje ID: 17 enviado al grupo 1, consumidor 1
Mensaje ID: 17 enviado al grupo 2, consumidor 1
Mensaje ID: 17 enviado al grupo 3, consumidor 1
Mensaje ID: 17 enviado al grupo 4, consumidor 1
Mensaje ID: 17 enviado al grupo 5, consumidor 1
Mensaje ID: 17 enviado al grupo 7, consumidor 1
Mensaje ID: 17 enviado al grupo 8, consumidor 1
Mensaje ID: 17 enviado al grupo 9, consumidor 1
Mensaje ID: 16 enviado al grupo 0, consumidor 0
Mensaje ID: 16 enviado al grupo 1, consumidor 0
Mensaje ID: 16 enviado al grupo 2, consumidor 0
Mensaje ID: 16 enviado al grupo 3, consumidor 0
Mensaje ID: 16 enviado al grupo 4, consumidor 0
Mensaje ID: 16 enviado al grupo 6, consumidor 0
Mensaje ID: 16 enviado al grupo 7, consumidor 0
Mensaje ID: 16 enviado al grupo 8, consumidor 0
Mensaje ID: 16 enviado al grupo 9, consumidor 0
Mensaje ID: 15 enviado al grupo 1, consumidor 1
Mensaje ID: 15 enviado al grupo 2, consumidor 1
Mensaje ID: 15 enviado al grupo 3, consumidor 1
Mensaje ID: 15 enviado al grupo 5, consumidor 1
Mensaje ID: 15 enviado al grupo 6, consumidor 1
Mensaje ID: 15 enviado al grupo 7, consumidor 1
Mensaje ID: 15 enviado al grupo 8, consumidor 1
Mensaje ID: 15 enviado al grupo 9, consumidor 1
Mensaje ID: 14 enviado al grupo 1, consumidor 0
Mensaje ID: 14 enviado al grupo 2, consumidor 0
Mensaje ID: 14 enviado al grupo 3, consumidor 0
Mensaje ID: 14 enviado al grupo 4, consumidor 0
Mensaje ID: 14 enviado al grupo 5, consumidor 0
Mensaje ID: 14 enviado al grupo 6, consumidor 0
Mensaje ID: 14 enviado al grupo 7, consumidor 0
Mensaje ID: 14 enviado al grupo 8, consumidor 0
Mensaje ID: 14 enviado al grupo 9, consumidor 0
Mensaje ID: 13 enviado al grupo 0, consumidor 1
Mensaje ID: 13 enviado al grupo 1, consumidor 1
Mensaje ID: 13 enviado al grupo 2, consumidor 1
Mensaje ID: 13 enviado al grupo 4, consumidor 1
Mensaje ID: 13 enviado al grupo 5, consumidor 1
Mensaje ID: 13 enviado al grupo 6, consumidor 1
Mensaje ID: 13 enviado al grupo 7, consumidor 1
Mensaje ID: 13 enviado al grupo 8, consumidor 1
Mensaje ID: 13 enviado al grupo 9, consumidor 1
Mensaje ID: 12 enviado al grupo 0, consumidor 0
Mensaje ID: 12 enviado al grupo 1, consumidor 0
Mensaje ID: 12 enviado al grupo 2, consumidor 0
Mensaje ID: 12 enviado al grupo 3, consumidor 0
Mensaje ID: 12 enviado al grupo 4, consumidor 0
Mensaje ID: 12 enviado al grupo 5, consumidor 0
Mensaje ID: 12 enviado al grupo 6, consumidor 0
Mensaje ID: 12 enviado al grupo 7, consumidor 0
Mensaje ID: 12 enviado al grupo 8, consumidor 0
Mensaje ID: 12 enviado al grupo 9, consumidor 0
Mensaje ID: 11 enviado al grupo 0, consumidor 1
Mensaje ID: 11 enviado al grupo 1, consumidor 1
Mensaje ID: 11 enviado al grupo 2, consumidor 1
Mensaje ID: 11 enviado al grupo 4, consumidor 1
Mensaje ID: 11 enviado al grupo 5, consumidor 1
Mensaje ID: 11 enviado al grupo 6, consumidor 1
Mensaje ID: 11 enviado al grupo 8, consumidor 1
Mensaje ID: 11 enviado al grupo 9, consumidor 1
Mensaje ID: 10 enviado al grupo 0, consumidor 0
Mensaje ID: 10 enviado al grupo 1, consumidor 0
Mensaje ID: 10 enviado al grupo 2, consumidor 0
Mensaje ID: 10 enviado al grupo 3, consumidor 0
Mensaje ID: 10 enviado al grupo 4, consumidor 0
Mensaje ID: 10 enviado al grupo 6, consumidor 0
Mensaje ID: 10 enviado al grupo 7, consumidor 0
Mensaje ID: 10 enviado al grupo 8, consumidor 0
Mensaje ID: 10 enviado al grupo 9, consumidor 0
Mensaje ID: 9 enviado al grupo 1, consumidor 1
Mensaje ID: 9 enviado al grupo 2, consumidor 1
Mensaje ID: 9 enviado al grupo 3, consumidor 1
Mensaje ID: 9 enviado al grupo 5, consumidor 1
Mensaje ID: 9 enviado al grupo 6, consumidor 1
Mensaje ID: 9 enviado al grupo 7, consumidor 1
Mensaje ID: 9 enviado al grupo 8, consumidor 1
Mensaje ID: 9 enviado al grupo 9, consumidor 1
Mensaje ID: 8 enviado al grupo 1, consumidor 0
Mensaje ID: 8 enviado al grupo 2, consumidor 0
Mensaje ID: 8 enviado al grupo 3, consumidor 0
Mensaje ID: 8 enviado al grupo 4, consumidor 0
Mensaje ID: 8 enviado al grupo 5, consumidor 0
Mensaje ID: 8 enviado al grupo 7, consumidor 0
Mensaje ID: 8 enviado al grupo 8, consumidor 0
Mensaje ID: 8 enviado al grupo 9, consumidor 0
Mensaje ID: 7 enviado al grupo 0, consumidor 1
Mensaje ID: 7 enviado al grupo 1, consumidor 1
Mensaje ID: 7 enviado al grupo 2, consumidor 1
Mensaje ID: 7 enviado al grupo 3, consumidor 1
Mensaje ID: 7 enviado al grupo 4, consumidor 1
Mensaje ID: 7 enviado al grupo 5, consumidor 1
Mensaje ID: 7 enviado al grupo 6, consumidor 1
Mensaje ID: 7 enviado al grupo 7, consumidor 1
Mensaje ID: 7 enviado al grupo 8, consumidor 1
Mensaje ID: 7 enviado al grupo 9, consumidor 1
Mensaje ID: 6 enviado al grupo 2, consumidor 0
Mensaje ID: 6 enviado al grupo 3, consumidor 0
Mensaje ID: 6 enviado al grupo 4, consumidor 0
Mensaje ID: 6 enviado al grupo 5, consumidor 0
Mensaje ID: 6 enviado al grupo 6, consumidor 0
Mensaje ID: 6 enviado al grupo 7, consumidor 0
Mensaje ID: 6 enviado al grupo 8, consumidor 0
Mensaje ID: 6 enviado al grupo 9, consumidor 0
Mensaje ID: 5 enviado al grupo 1, consumidor 1
Mensaje ID: 5 enviado al grupo 2, consumidor 1
Mensaje ID: 5 enviado al grupo 3, consumidor 1
Mensaje ID: 5 enviado al grupo 4, consumidor 1
Mensaje ID: 5 enviado al grupo 5, consumidor 1
Mensaje ID: 5 enviado al grupo 6, consumidor 1
Mensaje ID: 5 enviado al grupo 7, consumidor 1
Mensaje ID: 5 enviado al grupo 8, consumidor 1
Mensaje ID: 5 enviado al grupo 9, consumidor 1
Mensaje ID: 4 enviado al grupo 0, consumidor 0
Mensaje ID: 4 enviado al grupo 2, consumidor 0
Mensaje ID: 4 enviado al grupo 3, consumidor 0
Mensaje ID: 4 enviado al grupo 4, consumidor 0
Mensaje ID: 4 enviado al grupo 6, consumidor 0
Mensaje ID: 4 enviado al grupo 7, consumidor 0
Mensaje ID: 4 enviado al grupo 8, consumidor 0
Mensaje ID: 4 enviado al grupo 9, consumidor 0
Mensaje ID: 3 enviado al grupo 0, consumidor 1
Mensaje ID: 3 enviado al grupo 1, consumidor 1
Mensaje ID: 3 enviado al grupo 2, consumidor 1
Mensaje ID: 3 enviado al grupo 3, consumidor 1
Mensaje ID: 3 enviado al grupo 4, consumidor 1
Mensaje ID: 3 enviado al grupo 5, consumidor 1
Mensaje ID: 3 enviado al grupo 7, consumidor 1
Mensaje ID: 3 enviado al grupo 8, consumidor 1
Mensaje ID: 3 enviado al grupo 9, consumidor 1
Mensaje ID: 2 enviado al grupo 0, consumidor 0
Mensaje ID: 2 enviado al grupo 1, consumidor 0
Mensaje ID: 2 enviado al grupo 3, consumidor 0
Mensaje ID: 2 enviado al grupo 4, consumidor 0
Mensaje ID: 2 enviado al grupo 5, consumidor 0
Mensaje ID: 2 enviado al grupo 6, consumidor 0
Mensaje ID: 2 enviado al grupo 7, consumidor 0
Mensaje ID: 2 enviado al grupo 8, consumidor 0
Mensaje ID: 2 enviado al grupo 9, consumidor 0
Mensaje ID: 1 enviado al grupo 1, consumidor 1
Mensaje ID: 1 enviado al grupo 2, consumidor 1
Mensaje ID: 1 enviado al grupo 3, consumidor 1
Mensaje ID: 1 enviado al grupo 4, consumidor 1
Mensaje ID: 1 enviado al grupo 5, consumidor 1
Mensaje ID: 1 enviado al grupo 6, consumidor 1
Mensaje ID: 1 enviado al grupo 7, consumidor 1
Mensaje ID: 1 enviado al grupo 8, consumidor 1
Mensaje ID: 1 enviado al grupo 9, consumidor 1
Mensaje ID: 0 enviado al grupo 0, consumidor 0
Mensaje ID: 0 enviado al grupo 1, consumidor 0
Mensaje ID: 0 enviado al grupo 2, consumidor 0
Mensaje ID: 0 enviado al grupo 3, consumidor 0
Mensaje ID: 0 enviado al grupo 4, consumidor 0
Mensaje ID: 0 enviado al grupo 5, consumidor 0
Mensaje ID: 0 enviado al grupo 6, consumidor 0
Mensaje ID: 0 enviado al grupo 7, consumidor 0
